case_id,source_dataset,tau_memb_s,k_mem_eff,current_A,egr_fraction,status,message,mMem_sign_changes_last,mMem_last_range_kg_s,mMem_last_mean_kg_s,lambda_m_last_range,a_memb_last_range,abs_mMem_over_prod
cegr0608_011,cegr_0608_txt,60,0.1,38,0.2190877358,ok,,200,0.000474995869518166,-1.54853944565357e-05,0.0813660088077341,0.0139802955366907,3.94847949074184
cegr0608_012,cegr_0608_txt,60,0.1,38,0.2303416667,ok,,200,0.0004743887415828,-1.53839202066732e-05,0.0806314736749174,0.0137700018585755,3.95740840667433
cegr0608_013,cegr_0608_txt,60,0.1,38,0,ok,,200,0.000488208678114996,-3.0976446904017e-05,0.0645215443184251,0.0125544701045712,4.25532129131925
cegr0608_014,cegr_0608_txt,60,0.1,38,0.1489428571,ok,,200,0.000485084601752599,-2.99772270563301e-05,0.0635743000745093,0.0121475878636759,4.22824774758143
cegr0608_015,cegr_0608_txt,60,0.1,20,0.4261,ok,,200,0.000432474163841526,-1.80037957703348e-05,0.0126557377001895,0.00204249160334657,6.75690069953372
cegr0608_016,cegr_0608_txt,60,0.1,20,0,ok,,200,0.000414511467275912,-1.6613822403303e-05,0.0389227110653847,0.00559343500476528,6.72846141322705
initial_noegr_01,initial_noegr_steady_xlsx,105,0.1,38,0,ok,,200,0.000136966842978889,-1.87372465826686e-05,0.545403977797585,0.0290920246950143,1.13515990328736
initial_noegr_02,initial_noegr_steady_xlsx,105,0.1,76,0,ok,,0,1.07134705139287e-05,-1.8571412422933e-05,0.723346524113161,0.0603461337955021,0.163591839191891
initial_noegr_03,initial_noegr_steady_xlsx,105,0.1,114,0,ok,,0,9.55625371499269e-08,-2.10184993323908e-05,0.760145075981175,0.0416233975237347,0.12343182394296
initial_noegr_04,initial_noegr_steady_xlsx,105,0.1,152,0,ok,,0,1.8961056293913e-07,-2.29935333265139e-05,0.700158277226851,0.032706647587106,0.101272706694066
initial_noegr_05,initial_noegr_steady_xlsx,105,0.1,228,0,ok,,0,4.04382447490169e-07,-2.32697735123188e-05,0.675821547703336,0.0318441557388228,0.0683262525535968
initial_noegr_06,initial_noegr_steady_xlsx,105,0.1,266,0,ok,,0,4.60400903635731e-07,-1.35110773827316e-05,0.701677782130902,0.0323399897024313,0.034004675699081
initial_noegr_07,initial_noegr_steady_xlsx,105,0.1,342,0,ok,,0,6.11358873122253e-07,-4.71295794751585e-06,0.699884911030976,0.0321002177884104,0.00922566650182407
initial_noegr_08,initial_noegr_steady_xlsx,105,0.1,418,0,ok,,0,8.46776264148656e-07,-3.97197947623676e-06,0.67194042578577,0.0312780251229707,0.00636152160743599
initial_noegr_09,initial_noegr_steady_xlsx,105,0.1,494,0,ok,,0,1.15665929781023e-06,-3.57644354832656e-06,0.676116581283033,0.0340583158279045,0.00484679574683066
initial_noegr_10,initial_noegr_steady_xlsx,105,0.1,570,0,ok,,0,1.5573075923134e-06,-2.62914287679423e-06,0.662368086886524,0.0349853964393454,0.00308794548609136
initial_noegr_11,initial_noegr_steady_xlsx,105,0.1,646,0,ok,,0,1.97378908979653e-06,-1.50162815840973e-06,0.651281127601402,0.0360281248954422,0.00155618124954772
initial_noegr_12,initial_noegr_steady_xlsx,105,0.1,684,0,ok,,1,2.18428809305677e-06,-3.46862695212384e-07,0.639086322279066,0.0355940539352041,0.000592082317982104
initial_noegr_13,initial_noegr_steady_xlsx,105,0.1,722,0,ok,,1,2.41864886630069e-06,6.25810223543521e-07,0.629112540741565,0.035242811476953,0.000712645433221259
