case_id,source_dataset,tau_memb_s,k_mem_eff,current_A,egr_fraction,status,message,mMem_sign_changes_last,mMem_last_range_kg_s,mMem_last_mean_kg_s,lambda_m_last_range,a_memb_last_range,abs_mMem_over_prod
initial_noegr_13,initial_noegr_steady_xlsx,10,0.05,722,0,ok,,0,8.60128492775456e-09,1.29208116501709e-05,0.00520615113249079,0.000172045276963906,0.0119807192370191
cegr0608_001,cegr_0608_txt,10,0.05,38,0,ok,,0,1.91088443453222e-05,-1.56538066009143e-05,0.23476157994957,0.00659194501130023,0.275782471885172
cegr0608_002,cegr_0608_txt,10,0.05,38,0.0536594306,ok,,0,2.16788243488991e-05,-1.60272562343887e-05,0.190650550450346,0.0054673206874859,0.28236175740146
cegr0608_003,cegr_0608_txt,10,0.05,38,0.2858217391,ok,,0,2.02830978015743e-05,-1.58159482898288e-05,0.165213456255653,0.00470151447270273,0.278639018979721
cegr0608_004,cegr_0608_txt,10,0.05,38,0.3707279438,ok,,0,1.00185322302052e-05,-1.64082257082322e-05,0.198810389328884,0.00532392324735231,0.289073524442406
cegr0608_005,cegr_0608_txt,10,0.05,38,0.4680959866,ok,,0,4.55082948054992e-06,-1.67474815402385e-05,0.168249004779049,0.00439153653136415,0.295050397310293
cegr0608_006,cegr_0608_txt,10,0.05,38,0.5478621762,ok,,0,2.66678679928995e-07,-1.70023293514914e-05,0.0136042863409287,0.000352207263422111,0.299540203600461
cegr0608_007,cegr_0608_txt,10,0.05,38,0.6205626263,ok,,0,2.61078639960449e-07,-1.70177838092838e-05,0.0133361419554845,0.000345288206618166,0.299812474025176
cegr0608_008,cegr_0608_txt,10,0.05,38,0,ok,,0,5.86858080837546e-06,-1.67894765410179e-05,0.188023202717567,0.0049360543084821,0.29579024835209
cegr0608_009,cegr_0608_txt,10,0.05,38,0.05314808853,ok,,0,1.86581294262732e-05,-1.69515392020068e-05,0.189296719178525,0.0053418178318323,0.298645403164414
cegr0608_010,cegr_0608_txt,10,0.05,38,0.1952558824,ok,,0,2.68780903118638e-05,-1.64045481164685e-05,0.157373428856314,0.00469420690124489,0.2890087341091
cegr0608_011,cegr_0608_txt,10,0.05,38,0.2190877358,ok,,0,2.83659659258772e-05,-1.63010023144406e-05,0.151540086539399,0.00457037369041069,0.287184505794249
cegr0608_012,cegr_0608_txt,10,0.05,38,0.2303416667,ok,,0,2.82347241523986e-05,-1.63352014234636e-05,0.14884920059732,0.00448626538842334,0.28778701194902
cegr0608_013,cegr_0608_txt,10,0.05,38,0,ok,,0,3.83107780853574e-07,-1.79889908736223e-05,0.0196115410367526,0.000509498190400248,0.316922809660725
cegr0608_014,cegr_0608_txt,10,0.05,38,0.1489428571,ok,,0,1.51227307610112e-06,-1.79280492222915e-05,0.030559968209694,0.000794089103209106,0.315849164146043
cegr0608_015,cegr_0608_txt,10,0.05,20,0.4261,ok,,0,8.25005139100639e-06,-1.26763666487434e-05,0.267093231180812,0.00664093744796668,0.424321550296087
cegr0608_016,cegr_0608_txt,10,0.05,20,0,ok,,0,1.93572958599864e-07,-1.05095532303254e-05,0.707673494521668,0.02300937011552,0.351790859571974
