case_id,source_dataset,module,variable,unit,current_A,egr_fraction,initial_value,final_value,delta_value,last_window_mean,last_window_min,last_window_max,last_window_std,last_window_range,last_window_abs_slope_per_s,sign_changes_total,sign_changes_last_window,converged_by_range,message
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,I_A,A,38,0,38,38,0,38,38,38,0,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,V_cell,V,38,0,0.793564588428892,0.793104422333869,-0.000460166095022752,0.792632198097376,0.791754246262463,0.793238398234468,0.000587830608529198,0.00148415197200524,6.07020923449775e-05,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,Pstack_kPa_abs,kPa,38,0,482.487269764766,482.207488778992,-0.279780985773812,481.920376443205,481.386581727577,482.288946126556,0.357401009985751,0.902364398979159,0.0369068721457467,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,pO2_stack_kPa,kPa,38,0,16.708382622576,18.7041680698681,1.99578544729217,17.3635218100832,15.6629884608005,18.715421185888,1.26811078434736,3.0524327250875,0.151310206077944,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,pCa_stack_kPa_abs,kPa,38,0,133.161938704399,141.600203646027,8.43826494162829,138.294779711879,133.291760641128,141.600203646027,3.59664500260602,8.30844300489869,0.415422150244935,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,pH2_stack_kPa,kPa,38,0,135.426638277734,134.627142651094,-0.799495626639811,134.661830098411,134.627142651094,134.701064363222,0.021475425474519,0.0739217121274294,0.00369608560637147,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,pAn_stack_kPa_abs,kPa,38,0,152.937990078039,153.240801261587,0.30281118354776,153.227568878561,153.212609051831,153.240801261587,0.00819136374679112,0.0281922097560425,0.00140961048780213,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,lambda_m,1,38,0,9.84127668522142,11.4846735729183,1.64339688769692,11.487332389615,11.4846735729183,11.490245677279,0.00162417034963721,0.00557210436070221,0.000278605218035111,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,T_stack_C,degC,38,0,59.7340196531863,61.2637973720327,1.52977771884642,61.2046983951044,61.1377589826756,61.2637973720327,0.0366167206562445,0.126038389357063,0.00630191946785317,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,xO2_stack,1,38,0,0.125474161649646,0.132091392443368,0.00661723079372178,0.125402030008428,0.117489431058031,0.132211812262754,0.00602510226074803,0.014722381204723,0.000723499452152302,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,RH_stack,1,38,0,1,1,2.22044604925031e-16,1,0.999999999999999,1,1.80389889795317e-16,9.99200722162641e-16,2.22044604925031e-17,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,mMem_kg_s,kg/s,38,0,-1.76650743486943e-05,-1.87895640667432e-05,-1.12448971804888e-06,-1.87373636115877e-05,-1.87895640667432e-05,-1.86783298879089e-05,3.23136995865405e-08,1.1123417883434e-07,5.56170894171701e-09,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,mO2React_kg_s,kg/s,38,0,5.0408656871813e-05,5.0408656871813e-05,0,5.0408656871813e-05,5.0408656871813e-05,5.0408656871813e-05,3.39659155696525e-20,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,mH2React_kg_s,kg/s,38,0,6.35150967027629e-06,6.35150967027629e-06,0,6.35150967027629e-06,6.35150967027629e-06,6.35150967027629e-06,4.24573944620657e-21,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,mWaterGen_kg_s,kg/s,38,0,5.67614268372796e-05,5.67614268372796e-05,0,5.67614268372796e-05,5.67614268372796e-05,5.67614268372796e-05,3.39659155696525e-20,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,mCaOut_kg_s,kg/s,38,0,0.000141236904035104,0.00101502820643553,0.000873791302400428,0.000685530706641316,0.000140843203868494,0.00101502820643553,0.0003887445186747,0.000874185002567038,4.37092501283519e-05,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,mAnOut_kg_s,kg/s,38,0,5.4770224791873e-05,5.67988139425795e-05,2.02858915070656e-06,5.67102061040384e-05,5.66100267538463e-05,5.67988139425795e-05,5.48472230830611e-08,1.88787188733257e-07,9.43935943666286e-09,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,energy_residual_W,W,38,0,1.96678229258396e-10,8.54555537443957e-10,6.57877308185562e-10,1.37863955740667e-10,-1.5830892152735e-09,1.59070623340085e-09,9.42543438667622e-10,3.17379544867435e-09,1.4107115475781e-11,484,90,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,pO2In_kPa,kPa,38,0,26.4313536258226,26.4313536258226,0,26.4313536258226,26.4313536258226,26.4313536258226,0,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,xO2In,1,38,0,0.187025321958766,0.187025321958766,0,0.187025321958766,0.187025321958766,0.187025321958766,5.56497560693187e-17,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,RHIn,1,38,0,0.8,0.8,0,0.8,0.8,0.8,2.22599024277275e-16,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,Qnet_W,W,38,0,1530.00017588114,232.692998555207,-1297.30717732594,283.878659507525,232.692998555207,342.33535036115,31.0482704162737,109.642351805943,5.48211759029716,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,resO2_kg_s,kg/s,38,0,1.35525271560688e-20,-1.35525271560688e-20,-2.71050543121376e-20,7.28195488982801e-21,-6.7762635780344e-20,8.13151629364128e-20,3.50008300639665e-20,1.49077798716757e-19,6.7762635780344e-22,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,resN2_kg_s,kg/s,38,0,-2.71050543121376e-20,-2.71050543121376e-19,-2.43945488809238e-19,4.42311334048813e-20,-3.79470760369927e-19,5.96311194867027e-19,1.81343308847793e-19,9.75781955236954e-19,1.89735380184963e-20,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,resH2Oca_kg_s,kg/s,38,0,-1.6940658945086e-20,4.40457132572236e-20,6.09863722023096e-20,-6.57398705331696e-21,-7.11507675693612e-20,6.7762635780344e-20,2.66214071984913e-20,1.38913403349705e-19,3.55753837846806e-21,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,phaseCa_kg_s,kg/s,38,0,2.39715111456892e-05,8.8581902937742e-06,-1.5113320851915e-05,1.6113309572398e-05,8.8581902937742e-06,2.2131503399281e-05,5.33646189480833e-06,1.32733131055068e-05,6.6366565527534e-07,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,resH2_kg_s,kg/s,38,0,2.71050543121376e-20,3.3881317890172e-21,-2.37169225231204e-20,-2.62959482132678e-21,-3.04931861011548e-20,2.71050543121376e-20,1.22276483352363e-20,5.75982404132924e-20,5.0821976835258e-22,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,resH2Oan_kg_s,kg/s,38,0,-3.3881317890172e-21,6.7762635780344e-21,1.01643953670516e-20,1.76991959127764e-21,-3.04931861011548e-20,3.72694496791892e-20,1.4961871160692e-20,6.7762635780344e-20,1.6940658945086e-22,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_summary,phaseAn_kg_s,kg/s,38,0,0,0,0,0,0,0,0,0,0,0,0,1,
