case_id,case_index,current_A,egr_fraction_cmd,V_cell_sim,P_stack_sim_W,pO2_stack_kPa,p_stack_internal_kPa,T_stack_C,Q_net_stack_W,Q_gen_W,Q_cool_W,Q_amb_W,Q_gas_W,lambda_O2_actual,m_bench_air_in_kg_s,m_egr_return_kg_s,m_bench_out_kg_s,m_separator_gas_kg_s,alpha_EGR_actual,dq60_speed_rpm,dq60_flow_lpm,dq60_dp_kPa,dq60_pressure_ratio,dq60_power_W,dq60_map_flow_clamped,p_dq60_in_kPa,T_dq60_in_C,p_dq60_out_kPa,T_dq60_out_C,T_ca_in_C,p_ca_in_kPa,xO2_ca_in,pO2_ca_in_kPa,RH_ca_in,T_separator_C,liquid_drain_separator_kg_s,coolant_flow_L_min,coolant_inlet_temp_C,coolant_outlet_temp_C,Q_cool_bench_signed_W,h_cool_effective_W_K,V_cell_bench,V_cell_error
bench_266A,6,266,0.1,0.701107659246418,2983.91419775275,14.063073746747,183.906236691729,74.4019055938086,513.809203395018,2353.10980224725,1388.64330412706,444.606874160209,6.05042056495851,1.60701578813952,0.002868305,0.00025617159126513,0.00230554432138617,0.00025617159126513,0.1,3000,102.703795241142,26.7296204758858,1.15315076871795,66.8119985800398,0,174.531415673878,72.664489977848,201.261036149764,95.8418022152684,72.2,201.261036149764,0.176895948531929,35.6022618922313,0.653281250931795,77.4019055938086,0,6,73.2,79.2,2508,1155.36803496083,0.7012,-9.23407535822207e-05
bench_266A,6,266,0.2,0.699827840993745,2978.46729126938,11.9380433051107,183.437604204881,74.4063234517251,513.975154072594,2358.55670873062,1393.75198306467,444.646631562445,6.18294003091314,1.52600911542947,0.002868305,0.000522729510635562,0.00209091804254225,0.000522729510635562,0.2,3000,103.422854857769,26.657714514223,1.15273877434212,66.7343245223006,0,174.531415673878,73.1486169511543,201.189130188101,96.2989837906337,72.2,201.189130188101,0.163311478406258,32.8564942902878,0.711390710406617,77.4063234517251,0,6,73.2,79.2,2508,1155.37170488686,0.7012,-0.00137215900625554
bench_266A,6,266,0.3,0.697530424335095,2968.68948597017,8.85296756907234,182.61151352162,74.414461656346,514.184213344012,2368.33451402983,1403.16300816839,444.719871222847,6.26742129458926,1.39510187693776,0.002868305,0.000792039170937464,0.00184809139885408,0.000792039170937464,0.3,3000,104.239050890097,26.5760949109903,1.15227112441836,66.6342711071248,0,174.531415673878,73.6395768864722,201.107510584868,96.7552348518985,72.2,201.107510584868,0.1462964090994,29.4213066414858,0.774766636515179,77.414461656346,0,6,73.2,79.2,2508,1155.37859992231,0.7012,-0.00366957566490467
bench_266A,6,266,0.4,0.692220542977173,2946.09063091085,4.39938456865515,181.31537122638,74.4327339564267,515.473111334728,2390.93336908915,1424.29100176269,444.884296145614,6.28495984611961,1.19641323206548,0.002868305,0.00105019465121009,0.00157529197681514,0.00105019465121009,0.4,3000,105.166751681862,26.4833248318138,1.15173958642093,66.5040822950948,0,174.531415673878,74.1154788034006,201.014740505692,97.1859738218958,72.2,201.014740505692,0.124524990243962,25.0313586003638,0.842862073687593,77.4327339564267,0,6,73.2,79.2,2508,1155.39204086762,0.7012,-0.00897945702282676
bench_342A,7,342,0,0.68257303198984,3735.03963104841,16.5425814236027,201.07687326538,76.2670661523981,616.576996580251,3126.84836895159,2041.96854583453,461.391263831652,6.91156270515884,1.61415598593058,0.003514805,0,0.0031314086590238,0,0,3000,112.228790653032,25.7771209346968,1.13181999752525,71.2681011875156,0,195.547879067128,74.2,221.325000001824,94.3756665077909,74.2,221.325000001824,0.188303662127885,41.6763080207976,0.600000000004946,79.2670661523981,0,6,74.5,82.8,3469.4,1155.56995026095,0.6826,-2.6968010159667e-05
bench_342A,7,342,0.1,0.681605869481118,3729.74731780068,14.6260778340613,200.565084665164,76.2713486272844,616.733266146954,3132.14068219932,2046.92068369007,461.429802980236,7.05692938206185,1.55354927196831,0.003514805,0.000319164707770526,0.00287248236993473,0.000319164707770526,0.1,3000,112.973139327966,25.7026860672034,1.13143934973787,71.1652682177133,0,195.547879067128,74.6603873226855,221.250565134331,94.8069422971232,74.2,221.250565134331,0.176466491663923,39.0433110079156,0.658584375540239,79.2713486272844,0,6,74.5,82.8,3469.4,1155.57189147356,0.6826,-0.000994130518881753
bench_342A,7,342,0.2,0.680099608292872,3721.5050565786,12.0459047492678,199.845937271872,76.2783495602534,616.673325980851,3140.3829434214,2055.01718334618,461.492812575761,7.19962151860697,1.46420170806883,0.003514805,0.000649215680028218,0.00259686272011287,0.000649215680028218,0.2,3000,113.813577093948,25.6186422906052,1.13100956355456,71.0398179449807,0,195.547879067128,75.1377611868728,221.166521357733,95.2488017751576,74.2,221.166521357733,0.162069829940871,35.8444205050618,0.722866690207409,79.2783495602534,0,6,74.5,82.8,3469.4,1155.57550060816,0.6826,-0.00250039170712757
bench_342A,7,342,0.3,0.677046140383641,3704.79648017928,8.09733674853353,198.330949396718,76.2918526623313,617.637476048655,3157.09151982072,2070.6305930015,461.61432121146,7.20912955910448,1.31208970029031,0.003514805,0.000968713695610042,0.00226033195642343,0.000968713695610042,0.3,3000,114.755900200074,25.5244099799926,1.13052767486796,70.8841274768758,0,195.547879067128,75.6029820827126,221.07228904712,95.6699474268055,74.2,221.07228904712,0.144232642007896,31.8858403239994,0.792407664455478,79.2918526623313,0,6,74.5,82.8,3469.4,1155.5808334752,0.6826,-0.0055538596163589
bench_342A,7,342,0.4,0.669271449943349,3662.25337409,2.91783435040075,196.659533265736,76.3258567138581,620.48180804123,3199.63462591,2109.94783540139,461.920300788562,7.28468167880973,1.11254426921451,0.003514805,0.00128411072433691,0.00192616608650537,0.00128411072433691,0.4,3000,115.846840186559,25.4153159813442,1.12996978592961,70.6889075800219,0,195.547879067128,76.0721907933826,220.963195048472,96.0838902966719,74.2,220.963195048472,0.121308733261342,26.804765288709,0.868383609955402,79.3258567138581,0,6,74.5,82.8,3469.4,1155.59332744298,0.6826,-0.0133285500566511
bench_418A,8,418,0,0.664639902471874,4445.11166773189,17.5474231837132,217.827275051109,77.5937394800747,689.430245572291,3941.64033226811,2766.50813272814,473.329866715761,12.37208725192,1.5833057772306,0.00429707,0,0.00374423914638032,0,0,3000,123.631763174217,24.7276177619337,1.11416397329647,75.9605908666699,0,216.597382238258,74.5,241.325000000192,92.0893521583948,74.5,241.325000000192,0.18981378015144,45.8068104950828,0.600000000000477,80.5937394800747,0,6.5,75.2,83.8,3894.36666666666,1155.72649227553,0.666,-0.00136009752812616
