condition,case_id,boundary_case_index,boundary_current_A,boundary_current_density_A_cm2,current_A,current_density_command_A_cm2,egr_fraction_cmd,air_flow_scale,cathode_flow_nlpm_cmd,V_cell_sim,P_stack_sim_W,pO2_stack_kPa,p_stack_internal_kPa,T_stack_C,Q_net_stack_W,Q_gen_W,Q_cool_W,Q_amb_W,Q_gas_W,lambda_O2_actual,m_bench_air_in_kg_s,m_egr_return_kg_s,m_bench_out_kg_s,m_separator_gas_kg_s,alpha_EGR_actual,dq60_speed_rpm,dq60_flow_lpm,dq60_dp_kPa,dq60_pressure_ratio,dq60_power_W,dq60_map_flow_clamped,p_dq60_in_kPa,T_dq60_in_C,p_dq60_out_kPa,T_dq60_out_C,T_ca_in_C,p_ca_in_kPa,xO2_ca_in,pO2_ca_in_kPa,RH_ca_in,T_separator_C,liquid_drain_separator_kg_s,coolant_flow_L_min,coolant_inlet_temp_C,coolant_outlet_temp_C,h_cool_effective_W_K,condition_target,V_cell_target,V_cell_target_error,current_density_solved_A_cm2,air_flow_control,lookup_quality,study_type,oxygen_ok,thermal_ok,humidity_ok,pressure_order_ok,dq60_map_ok,normal_operation_ok,risk_label
constant_voltage_fixed_flow,j0.18_boundary_076A,2,76,0.2,68.4,0.18,0.45,1,71.8,0.775700446278075,848.926568406725,14.5885005241552,148.788484537725,63.4251664747651,-85.5376878365964,523.451031593275,260.617348038304,345.828209026643,2.54316236492486,2.30276943953748,0.00154729,0.00047488454012646,0.00058041443793234,0.00047488454012646,0.45,3000,73.7308583910602,29,1.22794262134015,50.9135406440328,1,127.225,62.8037311794809,156.225,95.5450010427896,61.2,156.225,0.16159091130771,25.244540119047,0.750437889863973,66.4251664747651,0,6,63.2,64.6,1157.44294664725,V_cell,0.775,0.000700446278074751,0.18,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_flow,j0.18_boundary_076A,2,76,0.2,68.4,0.18,0.5,1,71.8,0.775338018010415,848.529926910598,13.8830253706436,148.732184959647,63.4254762187643,-85.5186709205817,523.847673089402,260.975507776476,345.830996342297,2.5598398912111,2.24852799697023,0.00154729,0.000531134958592738,0.000531134958592738,0.000531134958592738,0.5,3000,73.8961157613313,29,1.22794262134015,50.9423455470229,1,127.225,62.9938007466997,156.225,95.7535943482959,61.2,156.225,0.156337270170068,24.4237900323189,0.76918020909189,66.4254762187643,0,6,63.2,64.6,1157.44138874934,V_cell,0.775,0.000338018010414776,0.18,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_flow,j0.35_boundary_114A,3,114,0.3,133,0.35,0,1,90.2,0.750431635419899,1596.91852017354,15.6022886472353,149.935851205532,65.0109059794547,0.596329439802035,1071.59347982646,706.490869184266,360.098141888504,4.40813931388415,1.98625862449971,0.00194381,0,0.00149301360291815,0,0,3000,87.4437021549634,28.2556297845037,1.21233759307532,59.7768921711017,0,133.069370219716,62.3,161.32500000422,92.899438575588,62.3,161.32500000422,0.192227825710133,31.0111539834983,0.600000000015693,68.0109059794547,0,6,64.4,66.3,1156.46415806055,V_cell,0.75,0.000431635419898657,0.35,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,1,1,ok
constant_voltage_fixed_flow,j0.35_boundary_114A,3,114,0.3,133,0.35,0.05,1,90.2,0.7501961159145,1596.41733466606,15.1337329009644,149.835769093541,65.0112953670127,0.617835489598524,1072.09466533394,706.941127646444,360.101645946404,4.4340562514983,1.96255402390526,0.00194381,7.50938997552849e-05,0.00142678409535041,7.50938997552849e-05,0.05,3000,87.6500641701099,28.234993582989,1.21218251455139,59.775367478108,0,133.069370219716,62.5206405684797,161.304363802705,93.1192986627159,62.3,161.304363802705,0.188297692926203,30.3732395629783,0.623076845075331,68.0112953670127,0,6,64.4,66.3,1156.46406924563,V_cell,0.75,0.000196115914499639,0.35,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,1,1,ok
constant_voltage_fixed_flow,j0.35_boundary_114A,3,114,0.3,133,0.35,0.1,1,90.2,0.749929623994304,1595.85023985988,14.6177403108091,149.731385281181,65.0117377493442,0.642287959435197,1072.66176014012,707.452665225802,360.105626898339,4.4611800565459,1.93572534264492,0.00194381,0.000151113258215731,0.00136001932394158,0.000151113258215731,0.1,3000,87.8645887322556,28.2135411267744,1.21202130197347,59.7726585600583,0,133.069370219716,62.7440347026675,161.28291134649,93.3413061177295,62.3,161.28291134649,0.184062471341646,29.6861312476106,0.646814829642061,68.0117377493442,0,6,64.4,66.3,1156.46396839854,V_cell,0.75,-7.03760056963709e-05,0.35,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,1,1,ok
constant_voltage_fixed_flow,j0.35_boundary_114A,3,114,0.3,133,0.35,0.15,1,90.2,0.749624835522344,1595.20164999155,14.046113374643,149.622296436406,65.0122457912872,0.670395043943858,1073.31035000845,708.040126565,360.110198713684,4.48962968582459,1.90518373854357,0.00194381,0.000228121648694968,0.00129268934260482,0.000228121648694968,0.15,3000,88.0882760964925,28.1911723903507,1.21185320366214,59.7685970985609,0,133.069370219716,62.9703775588596,161.260542610067,93.5655699357332,62.3,161.260542610067,0.179472752511864,28.9418734537855,0.671266259007725,68.0122457912872,0,6,64.4,66.3,1156.46385265696,V_cell,0.75,-0.000375164477656176,0.35,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,1,1,ok
constant_voltage_fixed_flow,j0.34_boundary_114A,3,114,0.3,129.2,0.34,0.2,1,90.2,0.75071530133426,1551.87867091818,13.7101641687049,149.667727114493,64.9853159288306,-0.794379425778764,1040.39012908182,676.900402657883,359.867859247064,4.41624660264963,1.90488175538896,0.00194381,0.000302443137529713,0.00120977255011885,0.000302443137529713,0.2,3000,88.2991117708921,28.1700888229108,1.21169476323814,59.7648665195558,0,133.069370219716,63.1845953556951,161.239459042627,93.7778780711765,62.3,161.239459042627,0.175012155495979,28.2188652780558,0.693688202686099,67.9853159288306,0,6,64.4,66.3,1156.47015452028,V_cell,0.75,0.00071530133426001,0.34,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,1,1,ok
constant_voltage_fixed_flow,j0.34_boundary_114A,3,114,0.3,129.2,0.34,0.25,1,90.2,0.750324362687093,1551.07052254676,13.0190962745185,149.552333126043,64.9859534219964,-0.759014326934326,1041.19827745324,677.637551368735,359.873595978254,4.4461444331855,1.86543774743531,0.00194381,0.00038060663856819,0.00114181991570457,0.00038060663856819,0.25,3000,88.5378885879716,28.1462111412028,1.21151532538803,59.7581103068933,0,133.069370219716,63.4133352715901,161.215581360919,94.0031595216535,62.3,161.215581360919,0.169700152371989,27.3583087216867,0.718946608351052,67.9859534219964,0,6,64.4,66.3,1156.46999561831,V_cell,0.75,0.00032436268709346,0.34,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,1,1,ok
constant_voltage_fixed_flow,j0.34_boundary_114A,3,114,0.3,129.2,0.34,0.3,1,90.2,0.749858741987498,1550.10799143656,12.2376301220627,149.431008658628,64.9867159552156,-0.716659471373506,1042.16080856344,678.519286770094,359.88045793013,4.47772333459486,1.81962819034013,0.00194381,0.000459946173206112,0.00107320773748093,0.000459946173206112,0.3,3000,88.7896193238886,28.1210380676112,1.21132615282675,59.7493355631811,0,133.069370219716,63.6455965062245,161.190408287327,94.2309290167296,62.3,161.190408287327,0.163826844287579,26.4073159191393,0.7450688765356,67.9867159552156,0,6,64.4,66.3,1156.46980576958,V_cell,0.75,-0.000141258012502199,0.34,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,1,1,ok
constant_voltage_fixed_flow,j0.34_boundary_114A,3,114,0.3,129.2,0.34,0.35,1,90.2,0.749292014436601,1548.93645224334,11.3454356275365,149.303074045331,64.9876480622394,-0.66480851181909,1043.33234775666,679.597104219794,359.888845856325,4.51120619235938,1.76591989188854,0.00194381,0.000540556873156469,0.00100389133586201,0.000540556873156469,0.35,3000,89.0564821524195,28.0943517847581,1.21112560868343,59.7381558772995,0,133.069370219716,63.8816864918928,161.163722004474,94.4612961871259,62.3,161.163722004474,0.157271898089275,25.3465244627758,0.772136361409143,67.9876480622394,0,6,64.4,66.3,1156.46957403374,V_cell,0.75,-0.00070798556339946,0.34,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,1,1,ok
constant_voltage_fixed_flow,j0.33_boundary_114A,3,114,0.3,125.4,0.33,0.4,1,90.2,0.750191748514367,1505.18472421923,10.7586281532971,149.348547482599,64.9610692301005,-2.10949304452175,1010.84087578078,648.863283544401,359.649665260765,4.43742002013074,1.74463329748628,0.00194381,0.000614250576770888,0.000921375865156332,0.000614250576770888,0.4,3000,89.2848609403095,28.0715139059691,1.21095398482475,59.7294433192444,0,133.069370219716,64.0889185727098,161.140884125685,94.6640683608557,62.3,161.140884125685,0.151384889891215,24.3942950003399,0.793962748455842,67.9610692301005,0,6,64.4,66.3,1156.47632900526,V_cell,0.75,0.000191748514366541,0.33,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,1,1,ok
constant_voltage_fixed_flow,j0.33_boundary_114A,3,114,0.3,125.4,0.33,0.45,1,90.2,0.749355379447293,1503.50663332305,9.61214673012297,149.211280315461,64.9624140123466,-2.03437647512331,1012.51896667695,650.418286341906,359.661766798649,4.47329001151936,1.67102871417874,0.00194381,0.000696435454322185,0.000851198888616004,0.000696435454322185,0.45,3000,89.5799637411084,28.0420036258892,1.21073221868855,59.713151334592,0,133.069370219716,64.3287522496707,161.111373845605,94.895562266953,62.3,161.111373845605,0.143313620786492,23.0894543356997,0.822170080327369,67.9624140123466,0,6,64.4,66.3,1156.47596265989,V_cell,0.75,-0.000644620552706865,0.33,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,1,1,ok
constant_voltage_fixed_flow,j0.32_boundary_114A,3,114,0.3,121.6,0.32,0.5,1,90.2,0.750043487909055,1459.28461007586,8.8298051215358,149.259353615052,64.9362201079095,-3.45696858253854,980.497789924143,620.129564946872,359.426050110557,4.39914344925308,1.63249688674164,0.00194381,0.000769182276100101,0.000769182276100101,0.000769182276100101,0.5,3000,89.8202146885481,28.0179785311452,1.21055167304755,59.7009334186531,0,133.069370219716,64.5303035352111,161.087348750861,95.0908592733779,62.3,161.087348750861,0.136309865501984,21.957794842301,0.843251258234511,67.9362201079095,0,6,64.4,66.3,1156.48323477564,V_cell,0.75,4.34879090547291e-05,0.32,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,1,1,ok
